benchmark,sub_domain,condition,count,accuracy,dense_accuracy,delta,paired_ci95,matching_tokens,compared_tokens,token_agreement,sequence_exact_match,relative_accuracy,length_terminated,empty_outputs,overall_eligible,overall_skipped,overall_softmax_skipped,overall_pv_omitted,overall_compensated,overall_mass_sum,overall_rows,overall_error_sq,overall_dense_sq,overall_denominator_mass_sum,overall_same_budget_best_mass_sum,overall_wrongly_replaced_vs_mass,overall_unnecessarily_retained_vs_mass,overall_physical_sparsity,overall_pv_omission,overall_mass,overall_denominator_mass,overall_relative_error,overall_rescued_rows,overall_prefix_eligible,overall_prefix_skipped,overall_prefix_replaced,overall_canvas_eligible,overall_canvas_skipped,overall_canvas_replaced,overall_boundary_eligible,overall_boundary_skipped,overall_boundary_replaced,overall_softmax_sparsity,overall_compensation_fraction,overall_mass_selection_gap,overall_wrongly_replaced_fraction,overall_rescued_row_rate,overall_prefix_sparsity,overall_canvas_sparsity,overall_boundary_sparsity,global_eligible,global_skipped,global_softmax_skipped,global_pv_omitted,global_compensated,global_mass_sum,global_rows,global_error_sq,global_dense_sq,global_denominator_mass_sum,global_same_budget_best_mass_sum,global_wrongly_replaced_vs_mass,global_unnecessarily_retained_vs_mass,global_physical_sparsity,global_pv_omission,global_mass,global_denominator_mass,global_relative_error,global_rescued_rows,global_prefix_eligible,global_prefix_skipped,global_prefix_replaced,global_canvas_eligible,global_canvas_skipped,global_canvas_replaced,global_boundary_eligible,global_boundary_skipped,global_boundary_replaced,global_softmax_sparsity,global_compensation_fraction,global_mass_selection_gap,global_wrongly_replaced_fraction,global_rescued_row_rate,global_prefix_sparsity,global_canvas_sparsity,global_boundary_sparsity,local_eligible,local_skipped,local_softmax_skipped,local_pv_omitted,local_compensated,local_mass_sum,local_rows,local_error_sq,local_dense_sq,local_denominator_mass_sum,local_same_budget_best_mass_sum,local_wrongly_replaced_vs_mass,local_unnecessarily_retained_vs_mass,local_physical_sparsity,local_pv_omission,local_mass,local_denominator_mass,local_relative_error,local_rescued_rows,local_prefix_eligible,local_prefix_skipped,local_prefix_replaced,local_canvas_eligible,local_canvas_skipped,local_canvas_replaced,local_boundary_eligible,local_boundary_skipped,local_boundary_replaced,local_softmax_sparsity,local_compensation_fraction,local_mass_selection_gap,local_wrongly_replaced_fraction,local_rescued_row_rate,local_prefix_sparsity,local_canvas_sparsity,local_boundary_sparsity,overall_mass_sample_p10_p50_p90,overall_relative_error_sample_p10_p50_p90,overall_physical_sparsity_sample_p10_p50_p90,global_mass_sample_p10_p50_p90,global_relative_error_sample_p10_p50_p90,global_physical_sparsity_sample_p10_p50_p90,local_mass_sample_p10_p50_p90,local_relative_error_sample_p10_p50_p90,local_physical_sparsity_sample_p10_p50_p90,equal_task_macro,dense_equal_task_macro,correct,unparsed_answers
longbench_v2,Academic,blasst_aggressive_s50,10,0.4,0.3,0.1,"(0.0, 0.3)",230,5233,0.04395184406650105,0.0,1.3333333333333335,0,0,45995680.0,21915380.0,21915380.0,21915380.0,0.0,48932933.59623861,63528960.0,631849139.1797415,6243614262.176697,48932933.59623861,57761067.76242256,3888465.0,3888465.0,0.4764660507247637,0.4764660507247637,0.7702460987278654,0.7702460987278654,0.3181183103483476,0.0,43514080.0,20953788.0,20953788.0,1985280.0,743825.0,743825.0,496320.0,217767.0,217767.0,0.4764660507247637,0.0,0.1389623593111543,0.08453978721479931,0.0,0.4815404117471862,0.3746700717279175,0.4387632978723404,38137280.0,18204039.0,18204039.0,18204039.0,0.0,9538518.539112091,10588160.0,31545374.102374975,1605995070.559082,9538518.539112091,9689797.160884857,2469419.0,2469419.0,0.47732924319720754,0.47732924319720754,0.9008664904111848,0.9008664904111848,0.140150850342206,0.0,37723680.0,18151314.0,18151314.0,330880.0,50987.0,50987.0,82720.0,1738.0,1738.0,0.47732924319720754,0.0,0.01428752698984206,0.06475078977840056,0.0,0.4811649870850352,0.15409514023210832,0.02101063829787234,7858400.0,3711341.0,3711341.0,3711341.0,0.0,39394415.05712652,52940800.0,600303765.0773665,4637619191.617615,39394415.05712652,48071270.601537704,1419046.0,1419046.0,0.47227692660083476,0.47227692660083476,0.7441220203912016,0.7441220203912016,0.3597808067795532,0.0,5790400.0,2802474.0,2802474.0,1654400.0,692838.0,692838.0,413600.0,216029.0,216029.0,0.47227692660083476,0.0,0.16389732577541674,0.1805769622314975,0.0,0.48398625310859356,0.4187850580270793,0.5223138297872341,"[0.7490202742207551, 0.7674995206704798, 0.7891247430172401]","[0.30717532577839424, 0.3214415456588623, 0.33593595369566165]","[0.4482626556778251, 0.47180456435696205, 0.5182268156962299]","[0.8823036515899344, 0.8997474301358951, 0.9159625003041137]","[0.13068412221759473, 0.13783697053336624, 0.15857529580845467]","[0.44473121740511024, 0.47218023102099227, 0.5335362669556587]","[0.7202478376201886, 0.7413391915574998, 0.7671365322383683]","[0.347739673592979, 0.36443921442988536, 0.3779926000952941]","[0.4575680780525857, 0.4764296902971715, 0.48475308634489445]",0.4,0.3,4.0,0
longbench_v2,Academic,blasst_original_s50,10,0.4,0.3,0.1,"(0.0, 0.3)",262,4782,0.054788791300711,0.0,1.3333333333333335,0,0,28193760.0,12151783.0,12151783.0,12151783.0,0.0,36087838.29506874,38338560.0,58571943.84070016,3937068162.1048584,36087838.29506874,37321571.5935173,2012778.0,2012778.0,0.43100966313113254,0.43100966313113254,0.9412935252411343,0.9412935252411343,0.12197149634539874,0.0,26696160.0,11859437.0,11859437.0,1198080.0,250238.0,250238.0,299520.0,42108.0,42108.0,0.43100966313113254,0.0,0.03217995924856235,0.07139090351907657,0.0,0.44423756075780185,0.20886585202991453,0.1405849358974359,23451360.0,11120270.0,11120270.0,11120270.0,0.0,5752276.402505875,6389760.0,21347482.49606753,1001923685.2617188,5752276.402505875,5843646.534763336,1532498.0,1532498.0,0.4741844396231178,0.4741844396231178,0.900233561590087,0.900233561590087,0.14596744672935227,0.0,23201760.0,11086597.0,11086597.0,199680.0,32491.0,32491.0,49920.0,1182.0,1182.0,0.4741844396231178,0.0,0.014299462304916234,0.06534793717720422,0.0,0.47783431084538414,0.16271534455128206,0.023677884615384615,4742400.0,1031513.0,1031513.0,1031513.0,0.0,30335561.892562866,31948800.0,37224461.344632626,2935144476.8431396,30335561.892562866,31477925.058753967,480280.0,480280.0,0.21750864541160594,0.21750864541160594,0.9495055179713437,0.9495055179713437,0.11261583707680992,0.0,3494400.0,772840.0,772840.0,998400.0,217747.0,217747.0,249600.0,40926.0,40926.0,0.21750864541160594,0.0,0.035756058637291574,0.10127361673414305,0.0,0.22116529304029303,0.218095953525641,0.16396634615384614,"[0.9342021255264393, 0.9430714595873912, 0.9441788658226468]","[0.11381588483354084, 0.11805482813554236, 0.1365334387147504]","[0.3900598477051601, 0.4256368560738477, 0.4842518841596402]","[0.8833562225577909, 0.9028395945462298, 0.9160261707862265]","[0.13034370358181963, 0.14289001165793364, 0.16003809104721786]","[0.42459436635570974, 0.4627544683979082, 0.5491479384889777]","[0.9453358468179397, 0.9499668987855345, 0.952689273941815]","[0.10191175632740895, 0.11017672734558094, 0.1262015329146608]","[0.20714321862348178, 0.21542486899065846, 0.23725974688877366]",0.4,0.3,4.0,0
longbench_v2,Academic,dense,10,0.3,0.3,0.0,"(0.0, 0.0)",4624,4624,1.0,1.0,1.0,0,0,30256320.0,0.0,0.0,0.0,0.0,42024960.0,42024960.0,0.0,4369884274.589478,42024960.0,42024960.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28614720.0,0.0,0.0,1313280.0,0.0,0.0,328320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25057920.0,0.0,0.0,0.0,0.0,7004160.0,7004160.0,0.0,1141420917.6108398,7004160.0,7004160.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,24784320.0,0.0,0.0,218880.0,0.0,0.0,54720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5198400.0,0.0,0.0,0.0,0.0,35020800.0,35020800.0,0.0,3228463356.9786377,35020800.0,35020800.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3830400.0,0.0,0.0,1094400.0,0.0,0.0,273600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.3,0.3,3.0,0
longbench_v2,Academic,full_centered_s50,10,0.6,0.3,0.3,"(0.0, 0.6)",247,5161,0.04785894206549118,0.0,2.0,0,0,54838880.0,26813478.0,0.0,26813478.0,0.0,55957463.75818386,75939840.0,563139295.8631834,7490661684.017944,55957463.75818386,69717926.16804695,6765551.0,6765551.0,0.48895013902545054,0.48895013902545054,0.736865705250154,0.736865705250154,0.27418760965822125,0.0,51872480.0,25728798.0,25728798.0,2373120.0,828582.0,828582.0,593280.0,256098.0,256098.0,0.0,0.0,0.1812021517277768,0.12337142917579644,0.0,0.496000923803913,0.3491530137540453,0.43166464401294496,45445280.0,22215587.0,0.0,22215587.0,0.0,11451111.198551178,12656640.0,17863682.58272566,1968870544.2177734,11451111.198551178,11754977.879882812,4889193.0,4889193.0,0.4888425596673626,0.4888425596673626,0.9047512766856906,0.9047512766856906,0.09525261685242863,0.0,44950880.0,22172829.0,22172829.0,395520.0,42603.0,42603.0,98880.0,155.0,155.0,0.0,0.0,0.024008479448861194,0.10758417595842737,0.0,0.49326796271841616,0.10771389563106797,0.0015675566343042071,9393600.0,4597891.0,0.0,4597891.0,0.0,44506352.55963268,63283200.0,545275613.2804577,5521791139.800171,44506352.55963268,57962948.28816414,1876358.0,1876358.0,0.4894705970022143,0.4894705970022143,0.7032885909630467,0.7032885909630467,0.3142447636664035,0.0,6921600.0,3555969.0,3555969.0,1977600.0,785979.0,785979.0,494400.0,255943.0,255943.0,0.0,0.0,0.2126408861835599,0.1997485522057571,0.0,0.5137495665742025,0.3974408373786408,0.5176840614886732,"[0.7187316710885574, 0.7325175259402762, 0.7506932560655143]","[0.2526510147564589, 0.2809601153639522, 0.2911489384681669]","[0.3942611059270226, 0.5010566882762995, 0.5693220116139114]","[0.8808396782013787, 0.8977733543867978, 0.9275184681721687]","[0.06628536080241718, 0.09778918816198343, 0.12153017546848698]","[0.3654780079122732, 0.5033039901917645, 0.5837483977133316]","[0.6821892526604718, 0.6992233323292212, 0.724348596848072]","[0.2837295472850392, 0.321872205860832, 0.3372156126917642]","[0.4795580431690271, 0.4904638731640147, 0.49907793115878973]",0.6000000000000001,0.3,6.0,0
longbench_v2,Academic,jl_gaussian_r32_s50,10,0.5,0.3,0.2,"(0.0, 0.5)",284,5012,0.05666400638467677,0.0,1.6666666666666667,0,0,65606720.0,30122284.0,0.0,30122284.0,0.0,67215437.51046973,91914240.0,720496140.5914835,9044451469.802155,67215437.51046973,84359835.07129669,7930463.0,7930463.0,0.4591341252847269,0.4591341252847269,0.731284265751093,0.731284265751093,0.28224399651414184,0.0,62016320.0,28788671.0,28788671.0,2872320.0,1019573.0,1019573.0,718080.0,314040.0,314040.0,0.0,0.0,0.18652602209219113,0.12087882155974267,0.0,0.46421121085546513,0.3549649760472371,0.43733288770053474,54237120.0,24522057.0,0.0,24522057.0,0.0,14075548.88286972,15319040.0,16463971.264847316,2405314621.180664,14075548.88286972,14397101.290023804,5625968.0,5625968.0,0.45212682753066535,0.45212682753066535,0.918827085957718,0.918827085957718,0.08273349176433471,0.0,53638720.0,24479256.0,24479256.0,478720.0,42686.0,42686.0,119680.0,115.0,115.0,0.0,0.0,0.02099037584300865,0.10372910656023034,0.0,0.4563728590093127,0.08916694518716578,0.0009608957219251337,11369600.0,5600227.0,0.0,5600227.0,0.0,53139888.62760002,76595200.0,704032169.3266362,6639136848.6214905,53139888.62760002,69962733.78127289,2304495.0,2304495.0,0.49256147973543485,0.49256147973543485,0.693775701709768,0.693775701709768,0.32564202115440066,0.0,8377600.0,4309415.0,4309415.0,2393600.0,976887.0,976887.0,598400.0,313925.0,313925.0,0.0,0.0,0.21963315134202752,0.202689188713763,0.0,0.5143973214285714,0.40812458221925135,0.5246072860962567,"[0.7186445134149817, 0.7241790457844276, 0.7500723611099865]","[0.25302205121726423, 0.2902236178565202, 0.2982863011740176]","[0.37461072643689325, 0.461690188222341, 0.528192737607166]","[0.8942683632621893, 0.9124121860294752, 0.9395444072117511]","[0.0582527773841374, 0.0860793848315507, 0.10921428786596578]","[0.33805258986967757, 0.4557349072751741, 0.5325100293956383]","[0.6806838032161951, 0.6865324177354181, 0.7133772073659422]","[0.29142571000168854, 0.3353230054295966, 0.34472792867292723]","[0.4802020862114112, 0.4905351657467639, 0.5067681932521813]",0.5,0.3,5.0,0
longbench_v2,Academic,mass_s50,10,0.4,0.3,0.1,"(0.0, 0.3)",203,5000,0.0406,0.0,1.3333333333333335,0,0,45974720.0,21642297.0,21642297.0,21642297.0,0.0,48570489.676021814,64020480.0,553137566.8518118,6522616877.367615,48570489.676021814,58521719.44709015,4980544.0,4980544.0,0.4707434216021327,0.4707434216021327,0.7586711264273841,0.7586711264273841,0.2912095696588923,0.0,43473920.0,20513232.0,20513232.0,2000640.0,886179.0,886179.0,500160.0,242886.0,242886.0,0.4707434216021327,0.0,0.15543822494096163,0.10833223127840691,0.0,0.47185144564833353,0.4429477567178503,0.48561660268714013,38055520.0,17781852.0,17781852.0,17781852.0,0.0,9729445.655994415,10670080.0,14221996.240805533,1642325939.3891602,9729445.655994415,9925456.941253662,3466955.0,3466955.0,0.46726078109036484,0.46726078109036484,0.9118437402525956,0.9118437402525956,0.09305733342723868,0.0,37638720.0,17705723.0,17705723.0,333440.0,75614.0,75614.0,83360.0,515.0,515.0,0.46726078109036484,0.0,0.018370179535602996,0.09110255227099774,0.0,0.4704124635481759,0.22676943378119002,0.006178023032629558,7919200.0,3860445.0,3860445.0,3860445.0,0.0,38841044.0200274,53350400.0,538915570.6110063,4880290937.978455,38841044.0200274,48596262.50583649,1513589.0,1513589.0,0.48747916456207696,0.48747916456207696,0.7280366036623418,0.7280366036623418,0.33230548458673265,0.0,5835200.0,2807509.0,2807509.0,1667200.0,810565.0,810565.0,416800.0,242371.0,242371.0,0.48747916456207696,0.0,0.18285183402203334,0.19112902818466512,0.0,0.4811332944886208,0.48618342130518233,0.5815043186180422,"[0.7452770044960012, 0.7540680568406188, 0.7691321556150251]","[0.27336515274122286, 0.29521045493508025, 0.30284755520043244]","[0.37945356150130505, 0.47679468835213207, 0.5398955383561393]","[0.8873687912650335, 0.9047569284662604, 0.9286127461888126]","[0.07277438935801045, 0.09875327664713492, 0.10765114752546473]","[0.34848043038482174, 0.47329286347352156, 0.5512430157063832]","[0.7162436761363411, 0.7235103627648549, 0.7417888833126437]","[0.3127278118588547, 0.33741118656626257, 0.3441933081772984]","[0.47713235957395134, 0.48716476889338733, 0.49625318911685995]",0.4,0.3,4.0,0
longbench_v2,Agent history QA,blasst_aggressive_s50,2,0.0,0.0,0.0,"(0.0, 0.0)",115,1383,0.08315256688358641,0.0,,0,0,9002560.0,4559475.0,4559475.0,4559475.0,0.0,9385980.5673002,12410880.0,147221824.49824592,1297057157.0911255,9385980.5673002,11247941.48557663,765983.0,765983.0,0.5064642723847439,0.5064642723847439,0.7562703504747609,0.7562703504747609,0.336904289549751,0.0,8517760.0,4368423.0,4368423.0,387840.0,146057.0,146057.0,96960.0,44995.0,44995.0,0.5064642723847439,0.0,0.15002650241372323,0.08508502026090356,0.0,0.512860540799459,0.3765908622112211,0.4640573432343234,7467360.0,3795961.0,3795961.0,3795961.0,0.0,1866724.6037025452,2068480.0,6722323.495175028,339486334.45947266,1866724.6037025452,1894397.4677772522,488671.0,488671.0,0.5083404308885604,0.5083404308885604,0.9024620028729043,0.9024620028729043,0.14071764407579992,0.0,7386560.0,3789980.0,3789980.0,64640.0,5365.0,5365.0,16160.0,616.0,616.0,0.5083404308885604,0.0,0.01337835709057232,0.06544093227057488,0.0,0.5130913442793398,0.08299814356435643,0.03811881188118812,1535200.0,763514.0,763514.0,763514.0,0.0,7519255.963597655,10342400.0,140499501.0030709,957570822.6316528,7519255.963597655,9353544.017799377,277312.0,277312.0,0.49733845752996353,0.49733845752996353,0.7270320199951322,0.7270320199951322,0.3830468882508371,0.0,1131200.0,578443.0,578443.0,323200.0,140692.0,140692.0,80800.0,44379.0,44379.0,0.49733845752996353,0.0,0.17735613147835338,0.18063574778530483,0.0,0.5113534299858558,0.4353094059405941,0.5492450495049505,"[0.755776687010297, 0.7567309455731841, 0.7576852041360713]","[0.3326033265407097, 0.34080622898103474, 0.34900913142135975]","[0.5005123482278256, 0.5047389817176142, 0.5089656152074028]","[0.9018601383111152, 0.9022660703360948, 0.9026720023610745]","[0.14067415987381268, 0.14076063075883893, 0.14084710164386519]","[0.500856216505522, 0.506229398257877, 0.5116025800102321]","[0.7263976239401415, 0.7276239206206021, 0.7288502173010626]","[0.3780476123006034, 0.3875397062261895, 0.39703180015177564]","[0.4967991541353383, 0.49784163533834586, 0.4988841165413534]",0.0,0.0,0.0,0
longbench_v2,Agent history QA,blasst_original_s50,2,0.0,0.0,0.0,"(0.0, 0.0)",229,1267,0.18074191002367798,0.0,,0,0,3220800.0,1617740.0,1617740.0,1617740.0,0.0,4004449.9549798965,4300800.0,9084598.179247592,465706361.29623413,4004449.9549798965,4170753.4335021973,235444.0,235444.0,0.5022789369100844,0.5022789369100844,0.9310942045619179,0.9310942045619179,0.13966795563920661,0.0,3052800.0,1580367.0,1580367.0,134400.0,31296.0,31296.0,33600.0,6077.0,6077.0,0.5022789369100844,0.0,0.0386680335105796,0.07310109289617486,0.0,0.5176778694968553,0.23285714285714285,0.18086309523809524,2688800.0,1484918.0,1484918.0,1484918.0,0.0,639106.4822273254,716800.0,3180011.7402220005,121500128.49902344,639106.4822273254,649113.1612167358,174534.0,174534.0,0.5522604879500149,0.5522604879500149,0.8916106057858892,0.8916106057858892,0.16178043284931626,0.0,2660800.0,1481825.0,1481825.0,22400.0,2918.0,2918.0,5600.0,175.0,175.0,0.5522604879500149,0.0,0.013960210643708705,0.06491148467717942,0.0,0.5569095760673481,0.13026785714285713,0.03125,532000.0,132822.0,132822.0,132822.0,0.0,3365343.472752571,3584000.0,5904586.43902559,344206232.7972107,3365343.472752571,3521640.2722854614,60910.0,60910.0,0.2496654135338346,0.2496654135338346,0.9389909243171236,0.9389909243171236,0.13097408626672413,0.0,392000.0,98542.0,98542.0,112000.0,28378.0,28378.0,28000.0,5902.0,5902.0,0.2496654135338346,0.0,0.043609598083953774,0.11449248120300752,0.0,0.2513826530612245,0.253375,0.2107857142857143,"[0.9285550179594046, 0.9313989069542195, 0.9342427959490344]","[0.13544223838591574, 0.13916236390624315, 0.14288248942657053]","[0.49913498431392417, 0.501759671333549, 0.5043843583531741]","[0.8880424499323003, 0.8912653003807032, 0.8944881508291062]","[0.1616295419961844, 0.16179857979588053, 0.16196761759557665]","[0.5505122752042043, 0.5527415241992415, 0.5549707731942787]","[0.9353683913854643, 0.9394256282689227, 0.9434828651523811]","[0.12463024465861766, 0.13014470525963553, 0.1356591658606534]","[0.23978460439750693, 0.24870920619806094, 0.25763380799861496]",0.0,0.0,0.0,0
longbench_v2,Agent history QA,dense,2,0.0,0.0,0.0,"(0.0, 0.0)",1267,1267,1.0,1.0,,0,0,3098240.0,0.0,0.0,0.0,0.0,4177920.0,4177920.0,0.0,461996962.20684814,4177920.0,4177920.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2935040.0,0.0,0.0,130560.0,0.0,0.0,32640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2581440.0,0.0,0.0,0.0,0.0,696320.0,696320.0,0.0,122222970.04492188,696320.0,696320.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2554240.0,0.0,0.0,21760.0,0.0,0.0,5440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516800.0,0.0,0.0,0.0,0.0,3481600.0,3481600.0,0.0,339773992.16192627,3481600.0,3481600.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,380800.0,0.0,0.0,108800.0,0.0,0.0,27200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0
longbench_v2,Agent history QA,full_centered_s50,2,0.0,0.0,0.0,"(0.0, 0.0)",231,1281,0.18032786885245902,0.0,,0,0,7525120.0,4255741.0,0.0,4255741.0,0.0,7277984.1838444695,10076160.0,90367495.04131436,1061739527.6563416,7277984.1838444695,9206173.800792694,883704.0,883704.0,0.5655379581986733,0.5655379581986733,0.7222974013755706,0.7222974013755706,0.2917407727327792,0.0,7131520.0,4110737.0,4110737.0,314880.0,109952.0,109952.0,78720.0,35052.0,35052.0,0.0,0.0,0.19136155211392283,0.11743387480864093,0.0,0.5764180707619133,0.3491869918699187,0.4452743902439024,6278720.0,3616535.0,0.0,3616535.0,0.0,1498231.839138031,1679360.0,4065755.0070872605,283746417.10791016,1498231.839138031,1534310.6568565369,640991.0,640991.0,0.575998770450028,0.575998770450028,0.8921445307367277,0.8921445307367277,0.11970310328709913,0.0,6213120.0,3613158.0,3613158.0,52480.0,3340.0,3340.0,13120.0,37.0,37.0,0.0,0.0,0.021483670992822182,0.10208943861169155,0.0,0.5815368124227441,0.06364329268292683,0.002820121951219512,1246400.0,639206.0,0.0,639206.0,0.0,5779752.3447064385,8396800.0,86301740.0342271,777993110.5484314,5779752.3447064385,7671863.143936157,242713.0,242713.0,0.512841784338896,0.512841784338896,0.6883279755033392,0.6883279755033392,0.3330595573316754,0.0,918400.0,497579.0,497579.0,262400.0,106612.0,106612.0,65600.0,35015.0,35015.0,0.0,0.0,0.22533712833814296,0.19473122593068035,0.0,0.5417889808362369,0.4062957317073171,0.5337652439024391,"[0.7197970770952803, 0.7223760279252652, 0.7249549787552502]","[0.288496784940996, 0.29183235985446976, 0.29516793476794356]","[0.5356687731898249, 0.5623396326471486, 0.5890104921044724]","[0.8837668376589594, 0.8924079802045821, 0.9010491227502048]","[0.10772923737345881, 0.11864118878840996, 0.12955314020336112]","[0.5407838989939674, 0.5717373643856446, 0.6026908297773218]","[0.6870031249825446, 0.6883696374694019, 0.6897361499562592]","[0.32745285796509255, 0.33321340535451244, 0.3389739527439323]","[0.5108910244360902, 0.5127840695488721, 0.5146771146616541]",0.0,0.0,0.0,0
