benchmark,split,condition,name,target,config,method,thresholds,count,accuracy,dense_accuracy,delta,paired_ci95,matching_tokens,compared_tokens,token_agreement,sequence_exact_match,relative_accuracy,length_terminated,empty_outputs,overall_eligible,overall_skipped,overall_softmax_skipped,overall_pv_omitted,overall_compensated,overall_mass_sum,overall_rows,overall_error_sq,overall_dense_sq,overall_denominator_mass_sum,overall_same_budget_best_mass_sum,overall_wrongly_replaced_vs_mass,overall_unnecessarily_retained_vs_mass,overall_physical_sparsity,overall_pv_omission,overall_mass,overall_denominator_mass,overall_relative_error,overall_rescued_rows,overall_prefix_eligible,overall_prefix_skipped,overall_prefix_replaced,overall_canvas_eligible,overall_canvas_skipped,overall_canvas_replaced,overall_boundary_eligible,overall_boundary_skipped,overall_boundary_replaced,overall_softmax_sparsity,overall_compensation_fraction,overall_mass_selection_gap,overall_wrongly_replaced_fraction,overall_rescued_row_rate,overall_prefix_sparsity,overall_canvas_sparsity,overall_boundary_sparsity,global_eligible,global_skipped,global_softmax_skipped,global_pv_omitted,global_compensated,global_mass_sum,global_rows,global_error_sq,global_dense_sq,global_denominator_mass_sum,global_same_budget_best_mass_sum,global_wrongly_replaced_vs_mass,global_unnecessarily_retained_vs_mass,global_physical_sparsity,global_pv_omission,global_mass,global_denominator_mass,global_relative_error,global_rescued_rows,global_prefix_eligible,global_prefix_skipped,global_prefix_replaced,global_canvas_eligible,global_canvas_skipped,global_canvas_replaced,global_boundary_eligible,global_boundary_skipped,global_boundary_replaced,global_softmax_sparsity,global_compensation_fraction,global_mass_selection_gap,global_wrongly_replaced_fraction,global_rescued_row_rate,global_prefix_sparsity,global_canvas_sparsity,global_boundary_sparsity,local_eligible,local_skipped,local_softmax_skipped,local_pv_omitted,local_compensated,local_mass_sum,local_rows,local_error_sq,local_dense_sq,local_denominator_mass_sum,local_same_budget_best_mass_sum,local_wrongly_replaced_vs_mass,local_unnecessarily_retained_vs_mass,local_physical_sparsity,local_pv_omission,local_mass,local_denominator_mass,local_relative_error,local_rescued_rows,local_prefix_eligible,local_prefix_skipped,local_prefix_replaced,local_canvas_eligible,local_canvas_skipped,local_canvas_replaced,local_boundary_eligible,local_boundary_skipped,local_boundary_replaced,local_softmax_sparsity,local_compensation_fraction,local_mass_selection_gap,local_wrongly_replaced_fraction,local_rescued_row_rate,local_prefix_sparsity,local_canvas_sparsity,local_boundary_sparsity,overall_mass_sample_p10_p50_p90,overall_relative_error_sample_p10_p50_p90,overall_physical_sparsity_sample_p10_p50_p90,global_mass_sample_p10_p50_p90,global_relative_error_sample_p10_p50_p90,global_physical_sparsity_sample_p10_p50_p90,local_mass_sample_p10_p50_p90,local_relative_error_sample_p10_p50_p90,local_physical_sparsity_sample_p10_p50_p90,equal_task_macro,dense_equal_task_macro,correct,unparsed_answers
aime26,calibration6,blasst_aggressive_s50,blasst_aggressive,0.5,"{""method"": ""blasst""}",blasst,"{""global"": {""log_scale"": 7.779279118037186, ""source"": ""existing AIME26 refined aggressive policy"", ""source_sha256"": ""25f4b8a909373450454895db3594bdd80091ffde568115199c9c2a74095e1bd1""}, ""local"": {""log_scale"": 8.091333801578767, ""source"": ""existing AIME26 refined aggressive policy"", ""source_sha256"": ""25f4b8a909373450454895db3594bdd80091ffde568115199c9c2a74095e1bd1""}}",6,0.3333333333333333,0.5,-0.16666666666666666,"(-0.5, 0.0)",182,10254,0.017749171055197972,0.0,0.6666666666666666,1,0,10155680.0,5223770.0,5223770.0,5223770.0,0.0,70074792.13222244,102973440.0,3370698713.9605184,11967162301.333496,70074792.13222244,79745962.32236862,1231005.0,1231005.0,0.5143692987569518,0.5143692987569518,0.6805132676175764,0.6805132676175764,0.5307186838300222,0.0,6133280.0,3094112.0,3094112.0,3217920.0,1725849.0,1725849.0,804480.0,403809.0,403809.0,0.5143692987569518,0.0,0.09391907457055118,0.12121344902556992,0.0,0.5044791693840815,0.5363243958830549,0.5019503281622911,1921280.0,951923.0,951923.0,951923.0,0.0,12001569.489307523,17162240.0,585439830.2870995,3335588871.895508,12001569.489307523,13043674.272276878,162135.0,162135.0,0.4954629205529647,0.4954629205529647,0.6993008773509474,0.6993008773509474,0.4189429389049688,0.0,1250880.0,612986.0,612986.0,536320.0,282006.0,282006.0,134080.0,56931.0,56931.0,0.4954629205529647,0.0,0.060720790699195185,0.08438905313124584,0.0,0.4900438091583525,0.5258166766109785,0.42460471360381863,8234400.0,4271847.0,4271847.0,4271847.0,0.0,58073222.64291492,85811200.0,2785258883.673419,8631573429.437988,58073222.64291492,66702288.05009174,1068870.0,1068870.0,0.5187806033226464,0.5187806033226464,0.6767557456709021,0.6767557456709021,0.5680516155484506,0.0,4882400.0,2481126.0,2481126.0,2681600.0,1443843.0,1443843.0,670400.0,346878.0,346878.0,0.5187806033226464,0.0,0.10055873134482238,0.12980545030603322,0.0,0.5081775356382107,0.5384259397374702,0.5174194510739857,"[0.5173936051536253, 0.7001820550849921, 0.7205756401228547]","[0.44906690345676725, 0.49391014430602026, 0.7205208589254604]","[0.4949130105855333, 0.511922070388247, 0.6210541901765045]","[0.5080367734648462, 0.7246884329706467, 0.7482071843474671]","[0.3378369183080453, 0.38463944853802723, 0.5906200784736657]","[0.46393279407904636, 0.4985143498020207, 0.5996921115451389]","[0.5192649714913811, 0.6952807795078612, 0.715049331277932]","[0.48567386969296383, 0.5301271220410091, 0.764705353084637]","[0.4998966283862295, 0.5168534554183409, 0.6253266059027778]",0.3333333333333333,0.5,2.0,0
aime26,calibration6,blasst_original_s50,blasst_original,0.5,"{""method"": ""blasst""}",blasst,"{""global"": {""cap_one"": true, ""log_threshold"": 0.0, ""source"": ""exact lambda1 fallback for this attention type only"", ""unattainable"": true}, ""local"": {""cap_one"": true, ""log_threshold"": 0.0, ""source"": ""exact lambda1 fallback for this attention type only"", ""unattainable"": true}}",6,0.5,0.5,0.0,"(0.0, 0.0)",448,9423,0.04754324525098164,0.0,1.0,0,0,7803040.0,2204814.0,2204814.0,2204814.0,0.0,59699484.56771755,63897600.0,148896791.82168892,6982675023.9096985,59699484.56771755,61188231.4990406,591734.0,591734.0,0.2825583362381841,0.2825583362381841,0.9342993252910524,0.9342993252910524,0.14602652656245235,0.0,5307040.0,1629122.0,1629122.0,1996800.0,485085.0,485085.0,499200.0,90607.0,90607.0,0.2825583362381841,0.0,0.023298949120515503,0.0758337776046259,0.0,0.30697375561518286,0.24293118990384616,0.18150440705128204,1511040.0,549852.0,549852.0,549852.0,0.0,9619675.265154839,10649600.0,58165851.88277685,2001385678.2961426,9619675.265154839,9790411.153335571,88567.0,88567.0,0.36388977128335454,0.36388977128335454,0.9032898198199781,0.9032898198199781,0.17047812206454271,0.0,1095040.0,449303.0,449303.0,332800.0,86776.0,86776.0,83200.0,13773.0,13773.0,0.36388977128335454,0.0,0.016032140942451617,0.05861327297755189,0.0,0.4103073860315605,0.26074519230769233,0.16554086538461538,6292000.0,1654962.0,1654962.0,1654962.0,0.0,50079809.30256271,53248000.0,90730939.93891206,4981289345.613556,50079809.30256271,51397820.34570503,503167.0,503167.0,0.2630263827082009,0.2630263827082009,0.9405012263852673,0.9405012263852673,0.13496054409929467,0.0,4212000.0,1179819.0,1179819.0,1664000.0,398309.0,398309.0,416000.0,76834.0,76834.0,0.2630263827082009,0.0,0.02475231075612828,0.07996932612841703,0.0,0.28010897435897436,0.23936838942307692,0.1846971153846154,"[0.9310942131849897, 0.9332098356053291, 0.9385267706001548]","[0.14037960445623626, 0.1451930479806937, 0.14949465762532987]","[0.2675875025390928, 0.2895341386284265, 0.30267563868613134]","[0.8935093618671663, 0.9077224525484728, 0.9240379446113388]","[0.15567075777415082, 0.16536623826029398, 0.1795650813314027]","[0.3044466089072944, 0.3395336002951257, 0.3915232268920208]","[0.9356716507967584, 0.9390751808355735, 0.9435961998308409]","[0.13169636375489768, 0.1352866122491492, 0.13841868369748606]","[0.2466912420609434, 0.2745273121453762, 0.29555811879652605]",0.5,0.5,3.0,0
aime26,calibration6,cancel_guard_gaussian_r32_s50,cancel_guard_gaussian_r32,0.5,"{""family"": ""gaussian"", ""method"": ""cancellation_guard"", ""rank"": 32}",cancellation_guard,"{""global"": {""log_threshold"": -1.2259130477905273}, ""local"": {""log_threshold"": -0.7744031548500061}}",6,0.3333333333333333,0.5,-0.16666666666666666,"(-0.5, 0.0)",454,9709,0.046760737460088575,0.0,0.6666666666666666,1,0,13930480.0,7039736.0,0.0,7039736.0,0.0,78752084.5426269,108134400.0,778381573.6782649,11528022475.12384,78752084.5426269,94971061.48522854,2285016.0,2285016.0,0.5053476979974847,0.5053476979974847,0.7282796644049155,0.7282796644049155,0.25984769336211117,0.0,9706480.0,5341859.0,5341859.0,3379200.0,1396334.0,1396334.0,844800.0,301543.0,301543.0,0.0,0.0,0.14998905937982396,0.16402995445957355,0.0,0.5503394639457352,0.4132143702651515,0.35694010416666666,2767680.0,1429760.0,0.0,1429760.0,0.0,14196459.676423073,18022400.0,104046424.4065672,3264959200.963623,14196459.676423073,15344456.90349865,325757.0,325757.0,0.5165915134697653,0.5165915134697653,0.7877119404975516,0.7877119404975516,0.17851499443635782,0.0,2063680.0,1158121.0,1158121.0,563200.0,222726.0,222726.0,140800.0,48913.0,48913.0,0.0,0.0,0.0636983546628405,0.11770038443750723,0.0,0.561192142192588,0.39546519886363635,0.3473934659090909,11162800.0,5609976.0,0.0,5609976.0,0.0,64555624.86620384,90112000.0,674335149.2716978,8263063274.160217,64555624.86620384,79626604.58172989,1959259.0,1959259.0,0.5025599312000574,0.5025599312000574,0.7163932091863885,0.7163932091863885,0.28567179233524637,0.0,7642800.0,4183738.0,4183738.0,2816000.0,1173608.0,1173608.0,704000.0,252630.0,252630.0,0.0,0.0,0.16724720032322057,0.1755168058193285,0.0,0.547409064740671,0.41676420454545454,0.3588494318181818,"[0.7086452271839567, 0.740497650328474, 0.7693380771446172]","[0.2370155508434983, 0.2537090749940343, 0.2673557955295405]","[0.47890729948130206, 0.5023172358857542, 0.5139622453940395]","[0.760165616928419, 0.8071671644854221, 0.8535475688283027]","[0.14395011855702744, 0.16902631319644845, 0.19039095120360922]","[0.4239012813444575, 0.4637318379206176, 0.5501354296296003]","[0.6983411492350644, 0.7271637474970845, 0.75249617880788]","[0.2666959644137384, 0.2801341861856439, 0.2920281744855704]","[0.49015680558056063, 0.504060551641626, 0.5113445023523924]",0.3333333333333333,0.5,2.0,0
aime26,calibration6,dense,dense,0.0,{},dense,,6,0.5,0.5,0.0,"(0.0, 0.0)",9052,9052,1.0,1.0,1.0,1,0,9073520.0,0.0,0.0,0.0,0.0,72253439.97746277,72253440.0,2.7181293168540045e-05,7957463921.763306,72253439.97746277,72253439.98387146,0.0,0.0,0.0,0.0,0.9999999996880808,0.9999999996880808,5.844504781096942e-08,0.0,6251120.0,0.0,0.0,2257920.0,0.0,0.0,564480.0,0.0,0.0,0.0,0.0,8.8697388058617e-11,0.0,0.0,0.0,0.0,0.0,1790720.0,0.0,0.0,0.0,0.0,12042239.997688293,12042240.0,5.245010683177509e-06,2286988228.536133,12042239.997688293,12042239.997283936,0.0,0.0,0.0,0.0,0.9999999998080336,0.9999999998080336,4.7889601581828827e-08,0.0,1320320.0,0.0,0.0,376320.0,0.0,0.0,94080.0,0.0,0.0,0.0,0.0,-3.357829690790501e-11,0.0,0.0,0.0,0.0,0.0,7282800.0,0.0,0.0,0.0,0.0,60211199.979774475,60211200.0,2.1936282485362536e-05,5670475693.227173,60211199.979774475,60211199.986587524,0.0,0.0,0.0,0.0,0.9999999996640904,0.9999999996640904,6.219733382931984e-08,0.0,4930800.0,0.0,0.0,1881600.0,0.0,0.0,470400.0,0.0,0.0,0.0,0.0,1.131525250519214e-10,0.0,0.0,0.0,0.0,0.0,"[0.9999999993430433, 0.999999999740826, 0.9999999997669544]","[5.223758246659457e-08, 5.399473640637724e-08, 8.263977049195048e-08]","[0.0, 0.0, 0.0]","[0.9999999995194302, 0.9999999998491624, 0.999999999883256]","[4.233849313902474e-08, 4.4528051704618e-08, 6.708909666007614e-08]","[0.0, 0.0, 0.0]","[0.999999999307766, 0.9999999997163413, 0.9999999997465114]","[5.567047315936286e-08, 5.737867255354371e-08, 8.849853523042405e-08]","[0.0, 0.0, 0.0]",0.5,0.5,3.0,0
aime26,calibration6,full_centered_s50,full_centered,0.5,"{""family"": ""identity""}",centered,"{""global"": {""log_threshold"": -1.2118581533432007}, ""local"": {""log_threshold"": -0.7402970194816589}}",6,0.5,0.5,0.0,"(0.0, 0.0)",412,9723,0.042373752956906305,0.0,1.0,2,0,12850400.0,6516511.0,0.0,6516511.0,0.0,73812308.4061656,101130240.0,727342307.6698579,10756229168.413422,73812308.4061656,88927075.42009449,2066635.0,2066635.0,0.5071056932079935,0.5071056932079935,0.7298737588891868,0.7298737588891868,0.2600395475779997,0.0,8900000.0,4919571.0,4919571.0,3160320.0,1315363.0,1315363.0,790080.0,281577.0,281577.0,0.0,0.0,0.1494584311668685,0.16082262030753908,0.0,0.5527607865168539,0.4162119658768732,0.35639049210206564,2532800.0,1263069.0,0.0,1263069.0,0.0,13464079.438443184,16855040.0,91183286.93068664,3069193221.2141113,13464079.438443184,14556488.905007362,300328.0,300328.0,0.49868485470625395,0.49868485470625395,0.7988162257961526,0.7988162257961526,0.17236358027882603,0.0,1874400.0,1020383.0,1020383.0,526720.0,200417.0,200417.0,131680.0,42269.0,42269.0,0.0,0.0,0.06481203643326734,0.118575489576753,0.0,0.5443784677763551,0.3805000759416768,0.3209978736330498,10317600.0,5253442.0,0.0,5253442.0,0.0,60348228.96772241,84275200.0,636159020.7391711,7687035947.19931,60348228.96772241,74370586.51508713,1766307.0,1766307.0,0.5091728696596107,0.5091728696596107,0.7160852655077936,0.7160852655077936,0.28767583937076247,0.0,7025600.0,3899188.0,3899188.0,2633600.0,1114946.0,1114946.0,658400.0,239308.0,239308.0,0.0,0.0,0.1663877101135888,0.17119359153291464,0.0,0.5549971532680483,0.4233543438639125,0.36346901579586877,"[0.7046712683622443, 0.7408091919352726, 0.7712692445527618]","[0.2291482874369229, 0.2573324095396563, 0.27102493679240336]","[0.48482789091389855, 0.49877423936830667, 0.5210710391638997]","[0.768658989133453, 0.8133139470300867, 0.863855812563517]","[0.13643544595350093, 0.16203372020567128, 0.18917883706621458]","[0.39480063516021424, 0.45085318852396844, 0.5356129114758478]","[0.6918737242080024, 0.7263082409163099, 0.7527519309506108]","[0.2586683077449399, 0.28674062174070997, 0.29703415195634764]","[0.5022343317090008, 0.5077713500306662, 0.5191151461391406]",0.5,0.5,3.0,0
aime26,calibration6,jl_gaussian_r32_s50,jl_gaussian_r32,0.5,"{""family"": ""gaussian"", ""rank"": 32}",centered,"{""global"": {""log_threshold"": -1.2361350059509277}, ""local"": {""log_threshold"": -0.7595282196998596}}",6,0.5,0.5,0.0,"(0.0, 0.0)",626,9247,0.06769763166432356,0.0,1.0,1,0,11404960.0,5758937.0,0.0,5758937.0,0.0,65612499.791829295,89948160.0,652203291.1081499,9556909914.281555,65612499.791829295,79216566.09789276,1857584.0,1857584.0,0.5049502146434534,0.5049502146434534,0.7294479374767565,0.7294479374767565,0.2612358325146761,0.0,7891360.0,4354147.0,4354147.0,2810880.0,1150250.0,1150250.0,702720.0,254540.0,254540.0,0.0,0.0,0.15124340849288598,0.16287509995651014,0.0,0.5517612933638815,0.4092134847449909,0.36222108378870677,2216960.0,1091133.0,0.0,1091133.0,0.0,11978345.654505253,14991360.0,78648026.25489756,2737394091.1208496,11978345.654505253,12988246.165138245,270333.0,270333.0,0.4921753211605081,0.4921753211605081,0.7990166105346849,0.7990166105346849,0.16950216563180714,0.0,1631360.0,879973.0,879973.0,468480.0,175354.0,175354.0,117120.0,35806.0,35806.0,0.0,0.0,0.06736550323873162,0.12193860060623557,0.0,0.5394106757551981,0.3743041325136612,0.30572062841530057,9188000.0,4667804.0,0.0,4667804.0,0.0,53634154.13732404,74956800.0,573555264.8532523,6819515823.160706,53634154.13732404,66228319.93275452,1587251.0,1587251.0,0.5080326512842839,0.5080326512842839,0.7155342028651709,0.7155342028651709,0.2900085918785547,0.0,6260000.0,3474174.0,3474174.0,2342400.0,974896.0,974896.0,585600.0,218734.0,218734.0,0.0,0.0,0.16801898954371683,0.1727526121027427,0.0,0.5549798722044729,0.41619535519125683,0.373521174863388,"[0.7067897763957596, 0.7420536583928588, 0.7709286924657393]","[0.23394745746816603, 0.24427222478489768, 0.2790013798392588]","[0.48505549169909545, 0.5024255224408395, 0.5153963453863094]","[0.7715861734082883, 0.8080763933877677, 0.8623874973801264]","[0.1369012777501471, 0.1653181536773871, 0.18243219268822836]","[0.419342867468794, 0.458701647512044, 0.521763063292506]","[0.693574377869248, 0.7291052305178827, 0.7526369314828619]","[0.26453792123697256, 0.2691706700952795, 0.3091221154014409]","[0.498267820179396, 0.5036518102679861, 0.5223874603348287]",0.5,0.5,3.0,0
aime26,calibration6,jl_sign_r32_s50,jl_sign_r32,0.5,"{""family"": ""sign"", ""rank"": 32}",centered,"{""global"": {""log_threshold"": -1.2821602821350098}, ""local"": {""log_threshold"": -0.7769317030906677}}",6,0.3333333333333333,0.5,-0.16666666666666666,"(-0.5, 0.0)",409,9759,0.04191003176554975,0.0,0.6666666666666666,2,0,12022480.0,5952444.0,0.0,5952444.0,0.0,72941534.7232049,98058240.0,670654702.8661704,10449995336.417389,72941534.7232049,86544104.25800705,1922036.0,1922036.0,0.4951094948795922,0.4951094948795922,0.7438593097653486,0.7438593097653486,0.2533328091044207,0.0,8192080.0,4460217.0,4460217.0,3064320.0,1239722.0,1239722.0,766080.0,252505.0,252505.0,0.0,0.0,0.13871929105399153,0.15987017653595598,0.0,0.5444547660667376,0.4045667554302423,0.3296065685045948,2380480.0,1160417.0,0.0,1160417.0,0.0,13322636.365395546,16343040.0,80235210.35576066,2984308022.4921875,13322636.365395546,14231420.119955063,270389.0,270389.0,0.4874718544159161,0.4874718544159161,0.8151871601241596,0.8151871601241596,0.1639685947127882,0.0,1742080.0,940745.0,940745.0,510720.0,186326.0,186326.0,127680.0,33346.0,33346.0,0.0,0.0,0.05560677539549049,0.11358591544562441,0.0,0.5400125137766348,0.3648300438596491,0.2611685463659148,9642000.0,4792027.0,0.0,4792027.0,0.0,59618898.35780935,81715200.0,590419492.5104098,7465687313.925201,59618898.35780935,72312684.13805199,1651647.0,1651647.0,0.49699512549263636,0.49699512549263636,0.7295937396935864,0.7295937396935864,0.28121950883438374,0.0,6450000.0,3519472.0,3519472.0,2553600.0,1053396.0,1053396.0,638400.0,219159.0,219159.0,0.0,0.0,0.15534179418569172,0.17129713752333542,0.0,0.5456545736434109,0.4125140977443609,0.34329417293233083,"[0.7193303434856839, 0.7560110655558253, 0.7781710355707829]","[0.2266917987209416, 0.24137869590988453, 0.2724460323731136]","[0.47255959159804306, 0.4866876489324454, 0.5117697375385999]","[0.7910218660673133, 0.8263084875223266, 0.8730242878345515]","[0.13168262764782893, 0.1549362339025863, 0.17875893705731133]","[0.37910546008869184, 0.44440043046593425, 0.5218815294821164]","[0.704992038969358, 0.741951581162525, 0.7592003851180291]","[0.25680983878697433, 0.2683371825008345, 0.30127088910175126]","[0.47976259997848875, 0.4988679827937429, 0.5171474984804796]",0.3333333333333333,0.5,2.0,0
aime26,calibration6,mass_s50,mass,0.5,"{""method"": ""mass""}",mass,"{""global"": {""dense_unattainable"": false, ""log_threshold"": -0.045639991760253906}, ""local"": {""dense_unattainable"": false, ""log_threshold"": -0.018442153930664062}}",6,0.5,0.5,0.0,"(0.0, 0.0)",596,10100,0.05900990099009901,0.0,1.0,2,0,12749120.0,6445376.0,6445376.0,6445376.0,0.0,77335945.9371996,102481920.0,990461135.3383237,11177402682.988312,77335945.9371996,88869349.28827572,1823750.0,1823750.0,0.5055545794533269,0.5055545794533269,0.7546301429286218,0.7546301429286218,0.29767904984842647,0.0,8745920.0,4587979.0,4587979.0,3202560.0,1531584.0,1531584.0,800640.0,325813.0,325813.0,0.5055545794533269,0.0,0.11254085941282253,0.1430490888782912,0.0,0.5245850636639713,0.4782374100719424,0.40694069744204636,2497920.0,1297229.0,1297229.0,1297229.0,0.0,13330199.372553825,17080320.0,167436222.37810147,3114101359.9978027,13330199.372553825,14357595.386945724,260205.0,260205.0,0.5193236772995132,0.5193236772995132,0.7804420158728774,0.7804420158728774,0.2318773542895231,0.0,1830720.0,1014817.0,1014817.0,533760.0,239699.0,239699.0,133440.0,42713.0,42713.0,0.5193236772995132,0.0,0.06015086452665402,0.10416866833205227,0.0,0.55432671298724,0.4490763639088729,0.3200914268585132,10251200.0,5148147.0,5148147.0,5148147.0,0.0,64005746.56464577,85401600.0,823024912.9602222,8063301322.990509,64005746.56464577,74511753.90133,1563545.0,1563545.0,0.5021994498205088,0.5021994498205088,0.7494677683397708,0.7494677683397708,0.3194846861563146,0.0,6915200.0,3573162.0,3573162.0,2668800.0,1291885.0,1291885.0,667200.0,283100.0,283100.0,0.5021994498205088,0.0,0.12301885839005625,0.15252311924457623,0.0,0.5167113026376677,0.48406961930455633,0.424310551558753,"[0.7397033968539275, 0.7593828363907189, 0.7707908996935381]","[0.2864137349740754, 0.297495559665112, 0.31149451108922516]","[0.4947498345303484, 0.5026678085142002, 0.5130026830615684]","[0.7526472727705514, 0.792999445522091, 0.8211799239942905]","[0.21428428492012, 0.2297626909287034, 0.24197063551495993]","[0.4384386710033262, 0.4946160034203274, 0.5512319907871237]","[0.7331751789717521, 0.7537610728470937, 0.7635509792495889]","[0.3073466831459254, 0.32116414493456236, 0.3362564269144117]","[0.49265566308202025, 0.5042855902777779, 0.5166007598410238]",0.5,0.5,3.0,0
aime26,full,blasst_aggressive_s50,blasst_aggressive,0.5,"{""method"": ""blasst""}",blasst,"{""global"": {""log_scale"": 7.779279118037186, ""source"": ""existing AIME26 refined aggressive policy"", ""source_sha256"": ""25f4b8a909373450454895db3594bdd80091ffde568115199c9c2a74095e1bd1""}, ""local"": {""log_scale"": 8.091333801578767, ""source"": ""existing AIME26 refined aggressive policy"", ""source_sha256"": ""25f4b8a909373450454895db3594bdd80091ffde568115199c9c2a74095e1bd1""}}",30,0.36666666666666664,0.5666666666666667,-0.2,"(-0.36666666666666664, -0.03333333333333333)",1139,47250,0.024105820105820106,0.0,0.6470588235294117,6,0,62640480.0,32173054.0,32173054.0,32173054.0,0.0,409614623.03328323,585646080.0,16656471745.414755,66588686212.533356,409614623.03328323,463011106.7405901,7596183.0,7596183.0,0.5136144231334115,0.5136144231334115,0.6994234863371462,0.6994234863371462,0.5001396467515733,0.0,39763680.0,20584976.0,20584976.0,18301440.0,9494306.0,9494306.0,4575360.0,2093772.0,2093772.0,0.5136144231334115,0.0,0.09117534553856634,0.12126636002789251,0.0,0.5176828703983133,0.5187737139809764,0.45761907259756607,11918880.0,5912894.0,5912894.0,5912894.0,0.0,70041662.65623039,97607680.0,2860421296.811484,18490155123.11328,70041662.65623039,75397253.6235857,995262.0,995262.0,0.4960947672935712,0.4960947672935712,0.7175835206433591,0.7175835206433591,0.39331881684981557,0.0,8106080.0,4060752.0,4060752.0,3050240.0,1565101.0,1565101.0,762560.0,287041.0,287041.0,0.4960947672935712,0.0,0.05486854074756526,0.08350298014578551,0.0,0.5009513846396779,0.5131074931808645,0.37641759336970204,50721600.0,26260160.0,26260160.0,26260160.0,0.0,339572960.3770528,488038400.0,13796050448.603271,48098531089.420074,339572960.3770528,387613853.1170044,6600921.0,6600921.0,0.5177313018516766,0.5177313018516766,0.6957914794759035,0.6957914794759035,0.535564127835433,0.0,31657600.0,16524224.0,16524224.0,15251200.0,7929205.0,7929205.0,3812800.0,1806731.0,1806731.0,0.5177313018516766,0.0,0.09843670649676667,0.13014023611242548,0.0,0.5219670474072576,0.5199069581409987,0.4738593684431389,"[0.5473617160093686, 0.7104742739030703, 0.7391428447024139]","[0.41664497882104307, 0.4649665491268202, 0.7218203967430854]","[0.48079692145757347, 0.5164969282643197, 0.6260380949797454]","[0.5262637304247255, 0.7347805740591387, 0.768024408311079]","[0.3068192351454477, 0.34922409563799156, 0.5857035486245706]","[0.4469870148192308, 0.48957658151288685, 0.6349172421824368]","[0.5524035797712313, 0.7064345504065617, 0.7333740397173946]","[0.45110884857063577, 0.5048398506825489, 0.7689284041761325]","[0.4858543562291131, 0.5198260309429512, 0.6289268663194445]",0.36666666666666664,0.5666666666666667,11.0,0
aime26,full,blasst_original_s50,blasst_original,0.5,"{""method"": ""blasst""}",blasst,"{""global"": {""cap_one"": true, ""log_threshold"": 0.0, ""source"": ""exact lambda1 fallback for this attention type only"", ""unattainable"": true}, ""local"": {""cap_one"": true, ""log_threshold"": 0.0, ""source"": ""exact lambda1 fallback for this attention type only"", ""unattainable"": true}}",30,0.5333333333333333,0.5666666666666667,-0.03333333333333333,"(-0.2, 0.13333333333333333)",2444,42612,0.057354735755186334,0.0,0.9411764705882353,2,0,35726640.0,10295971.0,10295971.0,10295971.0,0.0,275730101.24419403,295157760.0,692404193.2854809,32114396214.146393,275730101.24419403,282571469.5851383,2814763.0,2814763.0,0.28818749818062933,0.28818749818062933,0.9341787295180517,0.9341787295180517,0.14683512729667697,0.0,24197040.0,7543262.0,7543262.0,9223680.0,2366165.0,2366165.0,2305920.0,386544.0,386544.0,0.28818749818062933,0.0,0.023178683633268832,0.07878611030872201,0.0,0.3117431718920992,0.25653155790313625,0.16763114071606994,6883040.0,2441219.0,2441219.0,2441219.0,0.0,44596637.32763767,49192960.0,262033673.77183664,9213967290.101807,44596637.32763767,45359437.32624817,394321.0,394321.0,0.35467162765289756,0.35467162765289756,0.9065654379740042,0.9065654379740042,0.16863791335761447,0.0,4961440.0,1960751.0,1960751.0,1537280.0,424418.0,424418.0,384320.0,56050.0,56050.0,0.35467162765289756,0.0,0.015506283797732369,0.057288785187940214,0.0,0.39519796671933954,0.2760837323064113,0.14584200666111574,28843600.0,7854752.0,7854752.0,7854752.0,0.0,231133463.91655636,245964800.0,430370519.51364416,22900428924.044586,231133463.91655636,237212032.25889015,2420442.0,2420442.0,0.272322178923574,0.272322178923574,0.9397013878268612,0.9397013878268612,0.13708800263669016,0.0,19235600.0,5582511.0,5582511.0,7686400.0,1941747.0,1941747.0,1921600.0,330494.0,330494.0,0.272322178923574,0.0,0.024713163600376127,0.08391608537075816,0.0,0.2902176693214664,0.25262112302248124,0.17198896752706078,"[0.9306806286393676, 0.9340461944070904, 0.9410806266789804]","[0.13694993010405823, 0.14547804974032896, 0.15358416983735224]","[0.27492095309272785, 0.2895341386284265, 0.31676453986655856]","[0.8919968963873551, 0.9155596477859136, 0.9346119237824327]","[0.1441354131691107, 0.16413941450722, 0.1810222142148241]","[0.27237375070382885, 0.3364631483804933, 0.3840191806684112]","[0.9358355243956827, 0.9396538352279, 0.9435522596130959]","[0.12671178783724368, 0.13755805148476263, 0.14894454951598027]","[0.25813997642647374, 0.28426520735466243, 0.31927713793682794]",0.5333333333333333,0.5666666666666667,16.0,0
