request_id,target_tokens,prompt_tokens,preview
0,50,50,"Explain how masked diffusion language models generate text, including confidence-based token acceptance, batching, and stopping conditions. Explain how masked diffusion language models generate text, including confidence-based token acceptance, batching, and stopping conditions. Explain how masked diffusion"
1,75,75,"Analyze a distributed inference service. Discuss scheduling, memory use, synchronization, tail latency, and practical ways to measure each bottleneck. Analyze a distributed inference service. Discuss scheduling, memory use, synchronization, tail latency, and practical ways to measure"
2,100,100,"Write a careful technical review of an algorithm, with assumptions, examples, edge cases, complexity analysis, and a concise conclusion. Write a careful technical review of an algorithm, with assumptions, examples, edge cases, complexity analysis, and a"
3,125,125,"Compare several approaches to solving a scientific problem. Show the reasoning, identify uncertainty, and propose experiments that distinguish the alternatives. Compare several approaches to solving a scientific problem. Show the reasoning, identify uncertainty, and propose experiments that distinguish the alternatives"
4,150,150,"Explain how masked diffusion language models generate text, including confidence-based token acceptance, batching, and stopping conditions. Explain how masked diffusion language models generate text, including confidence-based token acceptance, batching, and stopping conditions. Explain how masked diffusion"
5,200,200,"Analyze a distributed inference service. Discuss scheduling, memory use, synchronization, tail latency, and practical ways to measure each bottleneck. Analyze a distributed inference service. Discuss scheduling, memory use, synchronization, tail latency, and practical ways to measure"
6,250,250,"Write a careful technical review of an algorithm, with assumptions, examples, edge cases, complexity analysis, and a concise conclusion. Write a careful technical review of an algorithm, with assumptions, examples, edge cases, complexity analysis, and a"
7,300,300,"Compare several approaches to solving a scientific problem. Show the reasoning, identify uncertainty, and propose experiments that distinguish the alternatives. Compare several approaches to solving a scientific problem. Show the reasoning, identify uncertainty, and propose experiments that distinguish the alternatives"
8,400,400,"Explain how masked diffusion language models generate text, including confidence-based token acceptance, batching, and stopping conditions. Explain how masked diffusion language models generate text, including confidence-based token acceptance, batching, and stopping conditions. Explain how masked diffusion"
9,500,500,"Analyze a distributed inference service. Discuss scheduling, memory use, synchronization, tail latency, and practical ways to measure each bottleneck. Analyze a distributed inference service. Discuss scheduling, memory use, synchronization, tail latency, and practical ways to measure"
10,600,600,"Write a careful technical review of an algorithm, with assumptions, examples, edge cases, complexity analysis, and a concise conclusion. Write a careful technical review of an algorithm, with assumptions, examples, edge cases, complexity analysis, and a"
11,700,700,"Compare several approaches to solving a scientific problem. Show the reasoning, identify uncertainty, and propose experiments that distinguish the alternatives. Compare several approaches to solving a scientific problem. Show the reasoning, identify uncertainty, and propose experiments that distinguish the alternatives"
12,800,800,"Explain how masked diffusion language models generate text, including confidence-based token acceptance, batching, and stopping conditions. Explain how masked diffusion language models generate text, including confidence-based token acceptance, batching, and stopping conditions. Explain how masked diffusion"
13,900,900,"Analyze a distributed inference service. Discuss scheduling, memory use, synchronization, tail latency, and practical ways to measure each bottleneck. Analyze a distributed inference service. Discuss scheduling, memory use, synchronization, tail latency, and practical ways to measure"
14,1000,1000,"Write a careful technical review of an algorithm, with assumptions, examples, edge cases, complexity analysis, and a concise conclusion. Write a careful technical review of an algorithm, with assumptions, examples, edge cases, complexity analysis, and a"
15,1100,1100,"Compare several approaches to solving a scientific problem. Show the reasoning, identify uncertainty, and propose experiments that distinguish the alternatives. Compare several approaches to solving a scientific problem. Show the reasoning, identify uncertainty, and propose experiments that distinguish the alternatives"
16,1200,1200,"Explain how masked diffusion language models generate text, including confidence-based token acceptance, batching, and stopping conditions. Explain how masked diffusion language models generate text, including confidence-based token acceptance, batching, and stopping conditions. Explain how masked diffusion"
17,1300,1300,"Analyze a distributed inference service. Discuss scheduling, memory use, synchronization, tail latency, and practical ways to measure each bottleneck. Analyze a distributed inference service. Discuss scheduling, memory use, synchronization, tail latency, and practical ways to measure"
18,1400,1400,"Write a careful technical review of an algorithm, with assumptions, examples, edge cases, complexity analysis, and a concise conclusion. Write a careful technical review of an algorithm, with assumptions, examples, edge cases, complexity analysis, and a"
19,1500,1500,"Compare several approaches to solving a scientific problem. Show the reasoning, identify uncertainty, and propose experiments that distinguish the alternatives. Compare several approaches to solving a scientific problem. Show the reasoning, identify uncertainty, and propose experiments that distinguish the alternatives"
20,1600,1600,"Explain how masked diffusion language models generate text, including confidence-based token acceptance, batching, and stopping conditions. Explain how masked diffusion language models generate text, including confidence-based token acceptance, batching, and stopping conditions. Explain how masked diffusion"
21,1750,1750,"Analyze a distributed inference service. Discuss scheduling, memory use, synchronization, tail latency, and practical ways to measure each bottleneck. Analyze a distributed inference service. Discuss scheduling, memory use, synchronization, tail latency, and practical ways to measure"
22,1900,1900,"Write a careful technical review of an algorithm, with assumptions, examples, edge cases, complexity analysis, and a concise conclusion. Write a careful technical review of an algorithm, with assumptions, examples, edge cases, complexity analysis, and a"
23,2000,2000,"Compare several approaches to solving a scientific problem. Show the reasoning, identify uncertainty, and propose experiments that distinguish the alternatives. Compare several approaches to solving a scientific problem. Show the reasoning, identify uncertainty, and propose experiments that distinguish the alternatives"
