benchmark,task,condition,count,accuracy,dense_accuracy,delta,paired_ci95,matching_tokens,compared_tokens,token_agreement,sequence_exact_match,relative_accuracy,length_terminated,empty_outputs,overall_eligible,overall_skipped,overall_softmax_skipped,overall_pv_omitted,overall_compensated,overall_mass_sum,overall_rows,overall_error_sq,overall_dense_sq,overall_denominator_mass_sum,overall_same_budget_best_mass_sum,overall_wrongly_replaced_vs_mass,overall_unnecessarily_retained_vs_mass,overall_physical_sparsity,overall_pv_omission,overall_mass,overall_denominator_mass,overall_relative_error,overall_rescued_rows,overall_prefix_eligible,overall_prefix_skipped,overall_prefix_replaced,overall_canvas_eligible,overall_canvas_skipped,overall_canvas_replaced,overall_boundary_eligible,overall_boundary_skipped,overall_boundary_replaced,overall_softmax_sparsity,overall_compensation_fraction,overall_mass_selection_gap,overall_wrongly_replaced_fraction,overall_rescued_row_rate,overall_prefix_sparsity,overall_canvas_sparsity,overall_boundary_sparsity,global_eligible,global_skipped,global_softmax_skipped,global_pv_omitted,global_compensated,global_mass_sum,global_rows,global_error_sq,global_dense_sq,global_denominator_mass_sum,global_same_budget_best_mass_sum,global_wrongly_replaced_vs_mass,global_unnecessarily_retained_vs_mass,global_physical_sparsity,global_pv_omission,global_mass,global_denominator_mass,global_relative_error,global_rescued_rows,global_prefix_eligible,global_prefix_skipped,global_prefix_replaced,global_canvas_eligible,global_canvas_skipped,global_canvas_replaced,global_boundary_eligible,global_boundary_skipped,global_boundary_replaced,global_softmax_sparsity,global_compensation_fraction,global_mass_selection_gap,global_wrongly_replaced_fraction,global_rescued_row_rate,global_prefix_sparsity,global_canvas_sparsity,global_boundary_sparsity,local_eligible,local_skipped,local_softmax_skipped,local_pv_omitted,local_compensated,local_mass_sum,local_rows,local_error_sq,local_dense_sq,local_denominator_mass_sum,local_same_budget_best_mass_sum,local_wrongly_replaced_vs_mass,local_unnecessarily_retained_vs_mass,local_physical_sparsity,local_pv_omission,local_mass,local_denominator_mass,local_relative_error,local_rescued_rows,local_prefix_eligible,local_prefix_skipped,local_prefix_replaced,local_canvas_eligible,local_canvas_skipped,local_canvas_replaced,local_boundary_eligible,local_boundary_skipped,local_boundary_replaced,local_softmax_sparsity,local_compensation_fraction,local_mass_selection_gap,local_wrongly_replaced_fraction,local_rescued_row_rate,local_prefix_sparsity,local_canvas_sparsity,local_boundary_sparsity,overall_mass_sample_p10_p50_p90,overall_relative_error_sample_p10_p50_p90,overall_physical_sparsity_sample_p10_p50_p90,global_mass_sample_p10_p50_p90,global_relative_error_sample_p10_p50_p90,global_physical_sparsity_sample_p10_p50_p90,local_mass_sample_p10_p50_p90,local_relative_error_sample_p10_p50_p90,local_physical_sparsity_sample_p10_p50_p90,equal_task_macro,dense_equal_task_macro,correct,unparsed_answers
longbench_v2,Code Repository Understanding,blasst_aggressive_s50,5,0.4,0.4,0.0,"(0.0, 0.0)",114,3006,0.03792415169660679,0.0,1.0,0,0,29562560.0,15810030.0,15810030.0,15810030.0,0.0,28140445.515271127,36986880.0,452456044.58926874,3699465226.044739,28140445.515271127,33626067.751132965,2364094.0,2364094.0,0.5347990837058766,0.5347990837058766,0.760822364991887,0.760822364991887,0.3497185930873856,0.0,28117760.0,15222361.0,15222361.0,1155840.0,455547.0,455547.0,288960.0,132122.0,132122.0,0.5347990837058766,0.0,0.14831265129315688,0.0799691907602048,0.0,0.5413788651727591,0.3941263496677741,0.4572328349944629,24987360.0,13601730.0,13601730.0,13601730.0,0.0,5547120.0302734375,6164480.0,21312478.959637105,917071629.3171387,5547120.0302734375,5628089.433643341,1522283.0,1522283.0,0.5443444205390245,0.5443444205390245,0.899852060558788,0.899852060558788,0.15244576172278843,0.0,24746560.0,13569289.0,13569289.0,192640.0,31359.0,31359.0,48160.0,1082.0,1082.0,0.5443444205390245,0.0,0.013134831059538447,0.06092212222499696,0.0,0.5483303133849715,0.16278550664451827,0.022466777408637874,4575200.0,2208300.0,2208300.0,2208300.0,0.0,22593325.48499769,30822400.0,431143565.62963164,2782393596.7276,22593325.48499769,27997978.317489624,841811.0,841811.0,0.48266742437489074,0.48266742437489074,0.7330164258785069,0.7330164258785069,0.3936422195850047,0.0,3371200.0,1653072.0,1653072.0,963200.0,424188.0,424188.0,240800.0,131040.0,131040.0,0.48266742437489074,0.0,0.17534821533988054,0.18399436090225563,0.0,0.4903512102515425,0.44039451827242526,0.5441860465116279,"[0.7528819603171343, 0.7573168751287634, 0.7777457145276016]","[0.32600103906670375, 0.33627387917119794, 0.3638405864636127]","[0.507675771295571, 0.5370880110748691, 0.5953310313325538]","[0.8901313901482846, 0.8963468972173795, 0.9059216466752119]","[0.14645336654926377, 0.15340214241700256, 0.16357616514698428]","[0.5098424833331667, 0.5524987657645528, 0.6184825893551598]","[0.7244783578593035, 0.7271811895944443, 0.753923155170254]","[0.3660805583207349, 0.3775077736483666, 0.4105811717103126]","[0.4591374439004488, 0.4701330741626794, 0.49838483161635827]",0.4,0.4,2.0,0
longbench_v2,Code Repository Understanding,blasst_original_s50,5,0.4,0.4,0.0,"(0.0, 0.0)",135,3142,0.0429662635264163,0.0,1.0,0,0,24874560.0,12606459.0,12606459.0,12606459.0,0.0,29203680.331462383,31088640.0,53200988.64346466,3193854890.07283,29203680.331462383,30261728.524196625,1701605.0,1701605.0,0.5068012861333024,0.5068012861333024,0.9393682171835881,0.9393682171835881,0.12906315019571316,0.0,23660160.0,12365651.0,12365651.0,971520.0,205046.0,205046.0,242880.0,35762.0,35762.0,0.5068012861333024,0.0,0.034033273656687506,0.06840744117684895,0.0,0.5226359838648598,0.21105690052700923,0.14724143610013174,21028960.0,11709276.0,11709276.0,11709276.0,0.0,4678666.505088806,5181440.0,17272411.618918173,815197494.9875488,4678666.505088806,4746153.291519165,1281839.0,1281839.0,0.5568166946915112,0.5568166946915112,0.9029664543232782,0.9029664543232782,0.14556101368004437,0.0,20826560.0,11680558.0,11680558.0,161920.0,27738.0,27738.0,40480.0,980.0,980.0,0.5568166946915112,0.0,0.013024716378141768,0.06095589130418242,0.0,0.5608491272682574,0.17130681818181817,0.024209486166007904,3845600.0,897183.0,897183.0,897183.0,0.0,24525013.826373577,25907200.0,35928577.02454649,2378657395.0852814,24525013.826373577,25515575.23267746,419766.0,419766.0,0.23330117536925318,0.23330117536925318,0.94664856975565,0.94664856975565,0.12290061654657089,0.0,2833600.0,685093.0,685093.0,809600.0,177308.0,177308.0,202400.0,34782.0,34782.0,0.23330117536925318,0.0,0.038234985112396654,0.10915487830247556,0.0,0.24177477413890458,0.21900691699604743,0.17184782608695653,"[0.9365603590533949, 0.9415040236642762, 0.9427055875190544]","[0.1203669569241333, 0.1293532964697108, 0.13292287489817062]","[0.4781535595175027, 0.5067048849926711, 0.5792422650584619]","[0.886712094378415, 0.8994672894991678, 0.9092104239259465]","[0.13672056470198915, 0.14670453796642954, 0.16577675419772173]","[0.5215848012643086, 0.5577754788760595, 0.6439319684544984]","[0.9441043582619745, 0.9504478920732693, 0.9514803324642054]","[0.10594441980024491, 0.11712828705187531, 0.12924465073825384]","[0.2223936349494426, 0.2319286703601108, 0.245160783055199]",0.4,0.4,2.0,0
longbench_v2,Code Repository Understanding,dense,5,0.4,0.4,0.0,"(0.0, 0.0)",2785,2785,1.0,1.0,1.0,0,0,23165440.0,0.0,0.0,0.0,0.0,28999680.0,28999680.0,0.0,3022400721.3970947,28999680.0,28999680.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22032640.0,0.0,0.0,906240.0,0.0,0.0,226560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19578240.0,0.0,0.0,0.0,0.0,4833280.0,4833280.0,0.0,788261506.4389648,4833280.0,4833280.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19389440.0,0.0,0.0,151040.0,0.0,0.0,37760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3587200.0,0.0,0.0,0.0,0.0,24166400.0,24166400.0,0.0,2234139214.95813,24166400.0,24166400.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2643200.0,0.0,0.0,755200.0,0.0,0.0,188800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.4,0.4,2.0,0
longbench_v2,Code Repository Understanding,full_centered_s50,5,0.4,0.4,0.0,"(0.0, 0.0)",107,3473,0.03080909876187734,0.0,1.0,0,0,41685760.0,23072777.0,0.0,23072777.0,0.0,38206682.42041162,52101120.0,392801244.4895908,5185424682.985077,38206682.42041162,47967279.85790253,4950683.0,4950683.0,0.5534930153606411,0.5534930153606411,0.7333178714855193,0.7333178714855193,0.2752290443781524,0.0,39650560.0,22303345.0,22303345.0,1628160.0,596012.0,596012.0,407040.0,173420.0,173420.0,0.0,0.0,0.18733949361339852,0.11876197051463137,0.0,0.5624976040691481,0.3660647602201258,0.42605149371069184,35240960.0,19918169.0,0.0,19918169.0,0.0,7892833.059135437,8683520.0,14737680.790597081,1356195186.274414,7892833.059135437,8088524.291618347,3660063.0,3660063.0,0.5651993873038645,0.5651993873038645,0.908943960414145,0.908943960414145,0.10424457752299403,0.0,34901760.0,19881116.0,19881116.0,271360.0,36920.0,36920.0,67840.0,133.0,133.0,0.0,0.0,0.02253593387047075,0.10385820931098358,0.0,0.5696307578758206,0.13605542452830188,0.001960495283018868,6444800.0,3154608.0,0.0,3154608.0,0.0,30313849.36127618,43417600.0,378063563.69899374,3829229496.710663,30313849.36127618,39878755.56628418,1290620.0,1290620.0,0.4894811320754717,0.4894811320754717,0.6981926536997941,0.6981926536997941,0.31421485566357993,0.0,4748800.0,2422229.0,2422229.0,1356800.0,559092.0,559092.0,339200.0,173287.0,173287.0,0.0,0.0,0.2203002055619841,0.2002575719960278,0.0,0.5100718076145553,0.4120666273584906,0.5108696933962265,"[0.721130436831519, 0.7364863681576567, 0.7554594514315436]","[0.2558349244372202, 0.27817697586735646, 0.2826254004692735]","[0.5200601340351854, 0.5392476483908897, 0.6056884029698948]","[0.9033630985454106, 0.9097041425077205, 0.9134349557043043]","[0.09705048057063045, 0.1031849382073771, 0.11328624017967316]","[0.5227521753756164, 0.5511736896197328, 0.629878559053429]","[0.6837715612619332, 0.7024853358594876, 0.724076528983766]","[0.2910083326990544, 0.3164784698316693, 0.3243667400266085]","[0.46005593904975206, 0.4886928860613071, 0.5058068159761104]",0.4,0.4,2.0,1
longbench_v2,Code Repository Understanding,jl_gaussian_r32_s50,5,0.4,0.4,0.0,"(0.0, 0.0)",125,3246,0.038508934072704865,0.0,1.0,0,0,45097920.0,23316876.0,0.0,23316876.0,0.0,40478531.53989362,56401920.0,455362784.7253712,5618685254.54834,40478531.53989362,51678658.2040596,5408517.0,5408517.0,0.5170277476211763,0.5170277476211763,0.7176800282666551,0.7176800282666551,0.28468292202379464,0.0,42894720.0,22459279.0,22459279.0,1762560.0,661649.0,661649.0,440640.0,195948.0,195948.0,0.0,0.0,0.19857704603258153,0.1199283026800349,0.0,0.5235907589558808,0.3753909086782861,0.4446895424836601,38121120.0,19833152.0,0.0,19833152.0,0.0,8615195.713020325,9400320.0,12945068.847898424,1453898615.8359375,8615195.713020325,8820406.205986023,3986526.0,3986526.0,0.5202667707559484,0.5202667707559484,0.9164789829516787,0.9164789829516787,0.09435938914678367,0.0,37753920.0,19797314.0,19797314.0,293760.0,35719.0,35719.0,73440.0,119.0,119.0,0.0,0.0,0.02183016035259419,0.10457525906898853,0.0,0.52437770700367,0.12159245642701524,0.0016203703703703703,6976800.0,3483724.0,0.0,3483724.0,0.0,31863335.826873295,47001600.0,442417715.87747276,4164786638.7124023,31863335.826873295,42858251.99807358,1421991.0,1421991.0,0.49932977869510375,0.49932977869510375,0.6779202373296503,0.6779202373296503,0.32592665229972484,0.0,5140800.0,2661965.0,2661965.0,1468800.0,625930.0,625930.0,367200.0,195829.0,195829.0,0.0,0.0,0.233926423168579,0.2038170794633643,0.0,0.5178114301276066,0.4261505991285403,0.5333033769063181,"[0.7059315879129967, 0.7174356543762781, 0.7401914560071726]","[0.26318424285824477, 0.28793431414458526, 0.2903322639763687]","[0.48892233417342845, 0.5128161421911422, 0.5786428485861593]","[0.9109620775990019, 0.9166210780718497, 0.9187364438943586]","[0.0882232885841482, 0.09437248702241666, 0.10644898426898791]","[0.48534431935598915, 0.5179857142857143, 0.5960536198359385]","[0.6644801133019244, 0.6775935402212382, 0.7050702006693541]","[0.29954042962039273, 0.3291159629625233, 0.33367870449518333]","[0.47942348591258366, 0.4954721362229102, 0.5094275586023883]",0.4,0.4,2.0,0
longbench_v2,Code Repository Understanding,mass_s50,5,0.2,0.4,-0.2,"(-0.6, 0.0)",133,3362,0.039559785841760856,0.0,0.5,0,0,38449600.0,20744925.0,20744925.0,20744925.0,0.0,36275413.31464052,48046080.0,467373441.86052406,4990776876.7388,36275413.31464052,43942954.098379135,3812814.0,3812814.0,0.5395355218259748,0.5395355218259748,0.7550129649419999,0.7550129649419999,0.3060186803695929,0.0,36572800.0,19875331.0,19875331.0,1501440.0,681895.0,681895.0,375360.0,187699.0,187699.0,0.5395355218259748,0.0,0.15958722925447014,0.0991639444883692,0.0,0.5434457028173943,0.4541606724211424,0.5000506180733163,32506400.0,17785336.0,17785336.0,17785336.0,0.0,7308322.955196381,8007680.0,12943213.036486244,1246189632.8811035,7308322.955196381,7439492.434120178,2683151.0,2683151.0,0.5471333645066817,0.5471333645066817,0.9126642117562616,0.9126642117562616,0.10191285841728069,0.0,32193600.0,17720002.0,17720002.0,250240.0,64800.0,64800.0,62560.0,534.0,534.0,0.5471333645066817,0.0,0.016380459624235434,0.08254223783624148,0.0,0.5504200213707072,0.25895140664961636,0.008535805626598466,5943200.0,2959589.0,2959589.0,2959589.0,0.0,28967090.35944414,40038400.0,454430228.82403785,3744587243.8576965,28967090.35944414,36503461.66425896,1129663.0,1129663.0,0.49797903486337325,0.49797903486337325,0.7234827155791476,0.7234827155791476,0.34836268544641663,0.0,4379200.0,2155329.0,2155329.0,1251200.0,617095.0,617095.0,312800.0,187165.0,187165.0,0.49797903486337325,0.0,0.18822858318051708,0.19007655808318752,0.0,0.4921741413956887,0.4932025255754476,0.5983535805626599,"[0.7451073960561397, 0.7537525653281252, 0.7766944953242838]","[0.2776530559092197, 0.31083226498576555, 0.31655775458692886]","[0.5159153925395965, 0.5373871562375448, 0.5831069881519446]","[0.9105278237932264, 0.9120262107501428, 0.9161641211034379]","[0.09559806192872411, 0.10070541102536446, 0.1112050472913976]","[0.5170291275634034, 0.5492878627034677, 0.6017155965904506]","[0.7114285462862024, 0.7223498324668945, 0.7492282429343323]","[0.31491067494135494, 0.35302660349878284, 0.3619043830754034]","[0.47213175723862505, 0.4965412280701754, 0.5098124426646761]",0.2,0.4,1.0,0
longbench_v2,Long In-context Learning,blasst_aggressive_s50,8,0.5,0.5,0.0,"(0.0, 0.0)",157,4327,0.0362837993991218,0.0,1.0,0,0,37086880.0,16492302.0,16492302.0,16492302.0,0.0,36647727.03323436,48046080.0,533930598.8001115,4746114847.775726,36647727.03323436,43664697.598716736,3196017.0,3196017.0,0.4446937030022477,0.4446937030022477,0.7627620616132338,0.7627620616132338,0.3354078969763385,0.0,35210080.0,15742856.0,15742856.0,1501440.0,586030.0,586030.0,375360.0,163416.0,163416.0,0.4446937030022477,0.0,0.14604668196619533,0.08617648613202297,0.0,0.44711219059996454,0.3903119671781756,0.43535805626598467,31143680.0,13658145.0,13658145.0,13658145.0,0.0,7260360.3822898865,8007680.0,24734890.93076996,1195080804.5478516,7260360.3822898865,7368285.800937653,2100604.0,2100604.0,0.4385527015432987,0.4385527015432987,0.9066746401317094,0.9066746401317094,0.1438654022816383,0.0,30830880.0,13617265.0,13617265.0,250240.0,39438.0,39438.0,62560.0,1442.0,1442.0,0.4385527015432987,0.0,0.013477738701817019,0.0674488050223994,0.0,0.44167617012553645,0.1576007033248082,0.023049872122762147,5943200.0,2834157.0,2834157.0,2834157.0,0.0,29387366.65094447,40038400.0,509195707.86934155,3551034043.2278748,29387366.65094447,36296411.79777908,1095413.0,1095413.0,0.47687390631309734,0.47687390631309734,0.7339795459095386,0.7339795459095386,0.3786735308920809,0.0,4379200.0,2125591.0,2125591.0,1251200.0,546592.0,546592.0,312800.0,161974.0,161974.0,0.47687390631309734,0.0,0.17256047061907098,0.18431366940368824,0.0,0.48538340336134456,0.4368542199488491,0.5178196930946292,"[0.7477387448462977, 0.7645319340406885, 0.7801076186805349]","[0.30828465167002145, 0.3379518596258747, 0.35009439429364747]","[0.4151416669686091, 0.45127282493429066, 0.47930746427914184]","[0.8961618782505393, 0.9034080617775306, 0.9153881618355346]","[0.12836574173849213, 0.14500345924914157, 0.16043364077504133]","[0.40309879925153813, 0.4462346133899358, 0.4819203960298015]","[0.7175279274044221, 0.73711757884769, 0.7534539265320914]","[0.3490393175527791, 0.3806644222293446, 0.3943343518583674]","[0.46441302525466893, 0.47431924892017274, 0.48451446612220206]",0.5,0.5,4.0,0
longbench_v2,Long In-context Learning,blasst_original_s50,8,0.5,0.5,0.0,"(0.0, 0.0)",346,4132,0.08373668925459826,0.0,1.0,0,0,27466720.0,11475092.0,11475092.0,11475092.0,0.0,33426955.19562435,35512320.0,58046903.522927664,3649280867.137665,33426955.19562435,34603607.02087402,2031455.0,2031455.0,0.41778166450162235,0.41778166450162235,0.9412777085705567,0.9412777085705567,0.12612055803917116,0.0,26079520.0,11203479.0,11203479.0,1109760.0,229488.0,229488.0,277440.0,42125.0,42125.0,0.41778166450162235,0.0,0.033133623070801116,0.07396059667845305,0.0,0.4295891565488935,0.20679065743944636,0.151834630911188,23073920.0,10457174.0,10457174.0,10457174.0,0.0,5378343.107898712,5918720.0,18511848.250423145,941125794.0302734,5378343.107898712,5458405.092971802,1554978.0,1554978.0,0.4532031835076138,0.4532031835076138,0.9087003791189163,0.9087003791189163,0.14024941307885755,0.0,22842720.0,10425912.0,10425912.0,184960.0,30058.0,30058.0,46240.0,1204.0,1204.0,0.4532031835076138,0.0,0.013526908702065582,0.06739114983496519,0.0,0.4564216520624514,0.16251081314878893,0.026038062283737024,4392800.0,1017918.0,1017918.0,1017918.0,0.0,28048612.08772564,29593600.0,39535055.272504516,2708155073.1073914,28048612.08772564,29145201.92790222,476477.0,476477.0,0.23172418503004918,0.23172418503004918,0.9477931744608847,0.9477931744608847,0.12082433418876726,0.0,3236800.0,777567.0,777567.0,924800.0,199430.0,199430.0,231200.0,40921.0,40921.0,0.23172418503004918,0.0,0.03705496594454823,0.10846771990529958,0.0,0.24022707612456748,0.21564662629757786,0.1769939446366782,"[0.9394017656036502, 0.9416278607260598, 0.9448866530644695]","[0.11121731134790235, 0.12321226815903458, 0.13418091534243698]","[0.3899126795364654, 0.42134808917960986, 0.4362319416077299]","[0.8947295483331318, 0.9058054371343072, 0.9161842949756411]","[0.12827105805980618, 0.14284156874078288, 0.15979515822143234]","[0.4209510874096719, 0.454261937810312, 0.4941207650197795]","[0.9462530421316965, 0.9494652928699779, 0.9520450198133042]","[0.10388014716837263, 0.11171177341379548, 0.1339379051901687]","[0.21176930778032035, 0.2231589097217096, 0.24206094004340747]",0.5,0.5,4.0,0
longbench_v2,Long In-context Learning,dense,8,0.5,0.5,0.0,"(0.0, 0.0)",3721,3721,1.0,1.0,1.0,0,0,31314880.0,0.0,0.0,0.0,0.0,40427520.0,40427520.0,0.0,4186744729.06546,40427520.0,40427520.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29735680.0,0.0,0.0,1263360.0,0.0,0.0,315840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26314080.0,0.0,0.0,0.0,0.0,6737920.0,6737920.0,0.0,1099038751.4072266,6737920.0,6737920.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,26050880.0,0.0,0.0,210560.0,0.0,0.0,52640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000800.0,0.0,0.0,0.0,0.0,33689600.0,33689600.0,0.0,3087705977.6582336,33689600.0,33689600.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3684800.0,0.0,0.0,1052800.0,0.0,0.0,263200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.5,0.5,4.0,0
longbench_v2,Long In-context Learning,full_centered_s50,8,0.5,0.5,0.0,"(0.0, 0.0)",232,5516,0.04205946337926034,0.0,1.0,0,0,65962880.0,30758620.0,0.0,30758620.0,0.0,63915534.553192675,87490560.0,649414792.1217109,8776636526.433899,63915534.553192675,80194303.74067497,8746014.0,8746014.0,0.4663019564943192,0.4663019564943192,0.7305420670892114,0.7305420670892114,0.27201761709027117,0.0,62545280.0,29470876.0,29470876.0,2734080.0,981743.0,981743.0,683520.0,306001.0,306001.0,0.0,0.0,0.18606314998420742,0.13258993543035114,0.0,0.4711926463515712,0.3590761791900749,0.44768404728464417,55140480.0,25393126.0,0.0,25393126.0,0.0,13210537.590431213,14581760.0,21758155.562590107,2299632138.336914,13210537.590431213,13600101.256240845,6589250.0,6589250.0,0.460516955964112,0.460516955964112,0.9059631752567052,0.9059631752567052,0.09727065806179723,0.0,54570880.0,25340531.0,25340531.0,455680.0,52339.0,52339.0,113920.0,256.0,256.0,0.0,0.0,0.02671581933934116,0.11949932245783859,0.0,0.46435994801623137,0.11485911165730336,0.0022471910112359553,10822400.0,5365494.0,0.0,5365494.0,0.0,50704996.96276146,72908800.0,627656636.5591208,6477004388.096985,50704996.96276146,66594202.48443413,2156764.0,2156764.0,0.4957767223536369,0.4957767223536369,0.6954578454557127,0.6954578454557127,0.3112963058665223,0.0,7974400.0,4130345.0,4130345.0,2278400.0,929404.0,929404.0,569600.0,305745.0,305745.0,0.0,0.0,0.21793261611318065,0.19928703429923122,0.0,0.5179505668138041,0.4079195926966292,0.5367714185393259,"[0.713747076411267, 0.7291770206946139, 0.7426147603495769]","[0.25786421329779724, 0.27457961355210325, 0.2907482138591805]","[0.37829457929454047, 0.48552697181495474, 0.5266127993701506]","[0.8710563370936197, 0.896912220922992, 0.9268431791297804]","[0.0761178280537484, 0.10365822700634869, 0.12228074845306622]","[0.34696467155081906, 0.48669110587453945, 0.533651513680749]","[0.68014642840853, 0.6958776529354743, 0.7093993318303874]","[0.2993539662255685, 0.3127605634662697, 0.33078987631699874]","[0.47863549664944854, 0.4894544871272609, 0.5080423813439849]",0.5,0.5,4.0,0
